time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-11T12:46:13.870Z,38.822834,-122.8460007,2.51,1.02,md,20,53,0.008574,0.03,nc,nc72340090,2014-11-11T12:47:49.940Z,"9km WNW of The Geysers, California",earthquake
2014-11-11T12:45:35.560Z,40.4099998,-121.4763336,6.49,2.01,md,10,137,0.04278,0.02,nc,nc72340085,2014-11-11T12:47:14.670Z,"23km WNW of Chester, California",earthquake
2014-11-11T12:35:08.910Z,40.3866653,-121.5065002,0.09,1.9,md,9,102,0.06444,0.08,nc,nc72340070,2014-11-11T12:45:06.675Z,"24km WNW of Chester, California",earthquake
2014-11-11T12:20:31.130Z,35.5509987,-120.7838364,4.86,1.74,md,27,76,0.1016,0.08,nc,nc72340060,2014-11-11T12:42:04.236Z,"7km W of Templeton, California",earthquake
2014-11-11T12:18:50.770Z,40.3969994,-121.4960022,4.16,2.19,md,7,199,0.06921,0.12,nc,nc72340055,2014-11-11T12:39:02.171Z,"24km WNW of Chester, California",earthquake
2014-11-11T12:05:08.980Z,36.1393333,-118.0568333,1.1,1.06,ml,14,83,0.1649,0.21,ci,ci37287120,2014-11-11T12:09:11.990Z,"51km S of Lone Pine, California",earthquake
2014-11-11T11:49:30.190Z,40.3936653,-121.4919968,4.05,2.19,md,10,101,0.05267,0.1,nc,nc72339990,2014-11-11T12:03:03.692Z,"24km WNW of Chester, California",earthquake
2014-11-11T11:32:57.610Z,40.3966675,-121.4941635,4.03,1.75,md,8,105,0.05425,0.11,nc,nc72339955,2014-11-11T12:03:03.296Z,"24km WNW of Chester, California",earthquake
2014-11-11T11:22:56.000Z,64.4927,-148.0845,17.3,1.1,ml,,,,0.13,ak,ak11438650,2014-11-11T12:20:57.969Z,"39km S of Ester, Alaska",earthquake
2014-11-11T11:22:52.300Z,40.3881683,-121.5019989,1.41,1.59,md,8,103,0.06082,0.11,nc,nc72339940,2014-11-11T11:53:03.070Z,"24km WNW of Chester, California",earthquake
2014-11-11T11:21:23.000Z,64.458,-148.0526,18.9,1.3,ml,,,,0.7,ak,ak11438648,2014-11-11T12:20:56.924Z,"43km S of Ester, Alaska",earthquake
2014-11-11T11:12:57.010Z,40.4020004,-121.4858322,6.47,2.93,md,14,117,0.04819,0.11,nc,nc72339910,2014-11-11T11:23:02.143Z,"24km WNW of Chester, California",earthquake
2014-11-11T11:03:56.430Z,40.3946648,-121.4518356,10.92,2.35,md,10,166,0.022,0.09,nc,nc72339890,2014-11-11T11:14:07.648Z,"13km NE of Greenville, California",earthquake
